Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
271,00:00:10.840,0.7959255642361112,0.8974066840277778,0.19688585069444445,1.2934841579861112
272,00:00:10.880,0.8116048177083334,0.9747992621527778,0.174560546875,1.2854546440972223
273,00:00:10.920,0.5392071759259259,0.5094943576388888,0.09369574652777778,1.0144314236111112
274,00:00:10.960,0.8703522858796298,0.8594021267361112,0.16636827256944445,1.5852864583333333
275,00:00:11.000,0.7663935908564814,0.7341579861111112,0.1266818576388889,1.4383409288194444
276,00:00:11.040,0.8826316550925926,0.9148763020833334,0.13517252604166666,1.5978461371527777
277,00:00:11.080,0.6395128038194445,0.5830620659722222,0.1086154513888889,1.2268608940972223
278,00:00:11.120,0.8201316550925926,0.7538519965277778,0.13818359375,1.568359375
279,00:00:11.160,1.0736671730324074,0.9847547743055556,0.16441514756944445,2.0718315972222223
280,00:00:11.200,0.7850296585648149,0.535888671875,0.1408148871527778,1.6783854166666667
281,00:00:11.240,0.9940502025462963,0.7404242621527778,0.14268663194444445,2.0990397135416665
282,00:00:11.280,1.1410499855324074,0.9131130642361112,0.1449652777777778,2.3650716145833335
283,00:00:11.320,0.7867386429398148,0.4334309895833333,0.12220594618055555,1.8045789930555556
284,00:00:11.360,0.9809751157407408,0.67236328125,0.18017578125,2.0903862847222223
285,00:00:11.400,1.1212926793981481,1.0450032552083333,0.1819118923611111,2.136962890625
286,00:00:11.440,0.4807942708333333,0.3773328993055556,0.13368055555555555,0.9313693576388888
287,00:00:11.480,1.027759693287037,0.9077690972222222,0.2266167534722222,1.9488932291666667
288,00:00:11.520,1.1482114438657407,1.0678982204861112,0.2533908420138889,2.1233452690972223
289,00:00:11.560,0.9062771267361112,0.6375054253472222,0.16853841145833334,1.9127875434027777
290,00:00:11.600,1.0064652054398147,1.1175130208333333,0.17903645833333334,1.7228461371527777
291,00:00:11.640,0.9147044994212963,0.8790418836805556,0.1923556857638889,1.6727159288194444
292,00:00:11.680,1.0163302951388888,1.0046115451388888,0.19520399305555555,1.8491753472222223
293,00:00:11.720,1.142632378472222,1.3039822048611112,0.2026095920138889,1.9213053385416667
294,00:00:11.760,0.9062680844907406,0.7529025607638888,0.20301649305555555,1.7628851996527777
295,00:00:11.800,1.063232421875,1.0554741753472223,0.238525390625,1.8956976996527777
296,00:00:11.840,0.7078450520833334,0.6047905815972222,0.1601833767361111,1.3585611979166667
297,00:00:11.880,0.466209129050926,0.5769856770833334,0.07071940104166667,0.7509223090277778
298,00:00:11.920,0.567599826388889,0.7383083767361112,0.0705837673611111,0.8939073350694444
299,00:00:11.960,0.3540852864583333,0.4559733072916667,0.059163411458333336,0.547119140625
300,00:00:12.000,0.5378689236111112,0.5030924479166666,0.07964409722222222,1.0308702256944444
301,00:00:12.040,0.773880570023148,0.8846842447916666,0.09784613715277778,1.339111328125
302,00:00:12.080,0.7190212673611112,0.6997612847222222,0.1171603732638889,1.3401421440972223
303,00:00:12.120,0.8980938946759259,0.8813747829861112,0.1588812934027778,1.6540256076388888
304,00:00:12.160,1.1177842881944444,1.3275824652777777,0.1496310763888889,1.8761393229166667
305,00:00:12.200,0.7576587818287037,0.8211263020833334,0.12882486979166666,1.3230251736111112
306,00:00:12.240,1.223578559027778,1.2226019965277777,0.13511827256944445,2.313015407986111
307,00:00:12.280,8.330937138310185,6.161485460069445,5.308620876736111,13.522705078125
